iso,value
ABW,693.16
AFG,1725.14
AGO,7431.9
AIA,16
ALB,770.53
AND,141
ANT,3164.55
ARE,56640.37
ARG,47672.69
ARM,1197.3
ATG,168.14
AUS,109994.89
AUT,16286.29
AZE,13207.3
BDI,56.16
BEL,31222.58
BEN,1398
BFA,468
BGD,13802.59
BGR,11662.36
BHR,7039.23
BHS,951
BIH,8049.76
BLR,14826.94
BLZ,125.49
BMU,185
BOL,3930.74
BRA,93964.1
BRB,429
BRN,2522.79
BTN,115.16
BWA,1207.6
CAF,89.16
CAN,132480.77
CHE,12095.59
CHL,19059.83
CHN,2072465.4
CIV,1875.07
CMR,1900.74
COD,721.88
COG,525.81
COK,19
COL,19317.79
COM,28.98
CPV,101.33
CRI,2216.09
CUB,8650.99
CYM,149
CYP,2583.02
CZE,28025.36
DEU,195795.17
DJI,312.81
DMA,35
DNK,13331.64
DOM,5625
DZA,32937.54
ECU,8911.69
EGY,58485.67
ERI,139.33
ESH,70
ESP,83026.69
EST,4558.25
ETH,2318.18
FIN,14481.08
FJI,372.3
FLK,16
FRA,99020.74
FRO,192.65
FSM,18
GAB,614.07
GBR,137541.75
GEO,1625.42
GHA,2151.25
GIB,1226.74
GIN,337.58
GLP,567.72
GMB,119
GNB,71.42
GNQ,1339.81
GRC,28317.27
GRD,75
GRL,170.16
GTM,4215.93
GUF,220.65
GUY,430.33
HKG,22606.21
HND,2144
HRV,5701.5
HTI,628.98
HUN,12306.39
IDN,118173.77
IND,526629.37
IRL,11768.99
IRN,163109.35
IRQ,29699.16
ISL,465.39
ISR,17849.5
ITA,108599.39
JAM,2469.67
JOR,6141.34
JPN,281471.71
KAZ,61396.64
KEN,3810.28
KGZ,2186.21
KHM,1283
KIR,16
KNA,71
KOR,120674.81
KWT,21937.37
LAO,493.16
LBN,5814.32
LBR,151.98
LBY,16488.98
LCA,108.33
LKA,3391.5
LTU,3509.55
LUX,3101.44
LVA,2072.37
MAC,394.98
MAR,13407.77
MDA,1235.25
MDG,526.63
MDV,280
MEX,122563.6
MHL,28
MKD,3066.7
MLI,184
MLT,1748
MMR,3075.63
MNG,3952.49
MOZ,766
MRT,580.16
MSR,22
MTQ,666
MUS,1299.74
MWI,273.93
MYS,52359.2
NAM,972.98
NCL,795.77
NER,317.46
NGA,20125.48
NIC,1211.23
NIU,1
NLD,54773.71
NOR,12784.54
NPL,1014
NRU,46
NZL,9351.57
OMN,11671.67
PAK,43953.33
PAN,2486
PER,13200.17
PHL,19613.18
PLW,70.16
PNG,1011
POL,79646.69
PRK,20481
PRT,15522.89
PRY,1224.88
PSE,582.46
PYF,283.49
QAT,20033
REU,799.35
ROU,20778.74
RUS,418574.82
RWA,201.46
SAU,116869.83
MNE,831.16
SRB,12199.4
SDN,4030.08
SEN,1412.76
SGP,37005.83
SHN,3
SLB,58
SLE,397.65
SLV,1788.58
SOM,217
SPM,23
STP,35
SUR,668.14
SVK,8619.41
SVN,4100.27
SWE,13552.75
SWZ,280
SYC,308.16
SYR,17961.73
TCA,44
TCD,126.33
TGO,454.98
THA,70156.85
TJK,776.16
TKM,13417
TLS,50
TON,49
TTO,13430.18
TUN,6615.08
TUR,71709.36
TWN,53304.26
TZA,1994.6
UGA,939.79
UKR,73607.76
URY,2568.35
USA,1429311.17
UZB,31415.33
VCT,55
VEN,48718.85
VGB,30
VNM,38754.32
VUT,30.33
WLF,9
WSM,44
YEM,6649.95
ZAF,135479.64
ZMB,542.67
ZWE,2425.28
