# Source: 2010 year from 2012 edition of IEA energy balances
# Composite regions (Other Africa, Other Latin America, Other Asia) downscaled to the countries on the basis of population
# Middle East nations rail energy re-set from 0 to values shown assuming 2 tonnes of fuel per km of rail per year
iso,FLOW,PRODUCT,value
aus,MARBUNK,Total of all energy sources,705
aus,AVBUNK,Total of all energy sources,3405
aus,DOMESAIR,Total of all energy sources,2217
aus,ROAD,Total of all energy sources,23876
aus,RAIL,Total of all energy sources,1033
aus,DOMESNAV,Total of all energy sources,807
aut,AVBUNK,Total of all energy sources,668
aut,DOMESAIR,Total of all energy sources,34
aut,ROAD,Total of all energy sources,7495
aut,RAIL,Total of all energy sources,209
aut,DOMESNAV,Total of all energy sources,11
bel,MARBUNK,Total of all energy sources,7596
bel,AVBUNK,Total of all energy sources,1539
bel,DOMESAIR,Total of all energy sources,2
bel,ROAD,Total of all energy sources,8347
bel,RAIL,Total of all energy sources,177
bel,DOMESNAV,Total of all energy sources,158
can,MARBUNK,Total of all energy sources,681
can,AVBUNK,Total of all energy sources,1070
can,DOMESAIR,Total of all energy sources,4191
can,ROAD,Total of all energy sources,48722
can,RAIL,Total of all energy sources,1893
can,DOMESNAV,Total of all energy sources,1926
chl,MARBUNK,Total of all energy sources,401
chl,AVBUNK,Total of all energy sources,513
chl,DOMESAIR,Total of all energy sources,368
chl,ROAD,Total of all energy sources,6276
chl,RAIL,Total of all energy sources,82
chl,DOMESNAV,Total of all energy sources,419
cze,AVBUNK,Total of all energy sources,311
cze,DOMESAIR,Total of all energy sources,30
cze,ROAD,Total of all energy sources,5541
cze,RAIL,Total of all energy sources,186
cze,DOMESNAV,Total of all energy sources,4
dnk,MARBUNK,Total of all energy sources,687
dnk,AVBUNK,Total of all energy sources,807
dnk,DOMESAIR,Total of all energy sources,39
dnk,ROAD,Total of all energy sources,3995
dnk,RAIL,Total of all energy sources,113
dnk,DOMESNAV,Total of all energy sources,155
fin,MARBUNK,Total of all energy sources,209
fin,AVBUNK,Total of all energy sources,536
fin,DOMESAIR,Total of all energy sources,141
fin,ROAD,Total of all energy sources,3950
fin,RAIL,Total of all energy sources,90
fin,DOMESNAV,Total of all energy sources,182
fra,MARBUNK,Total of all energy sources,2448
fra,AVBUNK,Total of all energy sources,5508
fra,DOMESAIR,Total of all energy sources,1173
fra,ROAD,Total of all energy sources,41507
fra,RAIL,Total of all energy sources,931
fra,DOMESNAV,Total of all energy sources,308
deu,MARBUNK,Total of all energy sources,2751
deu,AVBUNK,Total of all energy sources,8115
deu,DOMESAIR,Total of all energy sources,659
deu,ROAD,Total of all energy sources,50247
deu,RAIL,Total of all energy sources,1818
deu,DOMESNAV,Total of all energy sources,260
grc,MARBUNK,Total of all energy sources,2710
grc,AVBUNK,Total of all energy sources,682
grc,DOMESAIR,Total of all energy sources,237
grc,ROAD,Total of all energy sources,6489
grc,RAIL,Total of all energy sources,24
grc,DOMESNAV,Total of all energy sources,717
hun,AVBUNK,Total of all energy sources,235
hun,DOMESAIR,Total of all energy sources,0
hun,ROAD,Total of all energy sources,3965
hun,RAIL,Total of all energy sources,151
hun,DOMESNAV,Total of all energy sources,1
isl,MARBUNK,Total of all energy sources,57
isl,AVBUNK,Total of all energy sources,123
isl,DOMESAIR,Total of all energy sources,7
isl,ROAD,Total of all energy sources,265
isl,DOMESNAV,Total of all energy sources,11
irl,MARBUNK,Total of all energy sources,83
irl,AVBUNK,Total of all energy sources,722
irl,DOMESAIR,Total of all energy sources,28
