# Data copied from SSP version 9 database (downloaded in 2014),,,,,,,,,,,,,,,,,,,,,,,,,
MODEL,SCENARIO,REGION,VARIABLE,UNIT,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD Env-Growth,SSP1_v9_130325,BHS,GDP|PPP,billion US$2005/yr,9.179,9.964,9.647,10.852,12.364,13.913,15.577,17.4,19.244,21.071,22.657,24.061,25.282,26.374,27.331,27.979,28.462,28.752,28.843,28.773,28.526
OECD Env-Growth,SSP1_v9_130325,BIH,GDP|PPP,billion US$2005/yr,18.823,23.975,28.065,30.809,37.787,47.037,57.74,69.273,80.304,89.614,96.512,101.533,105.79,108.039,109.08,108.896,107.453,105.156,102.274,99.093,95.538
OECD Env-Growth,SSP1_v9_130325,BLR,GDP|PPP,billion US$2005/yr,58.129,83.492,118.671,145.259,176.778,211.172,250.038,292.074,330.894,362.482,385.669,404.928,424.762,443.176,455.985,461.441,462.309,461.472,459.908,456.94,451.145
OECD Env-Growth,SSP1_v9_130325,BLZ,GDP|PPP,billion US$2005/yr,1.404,1.825,2.061,2.266,2.592,3.141,3.903,4.861,5.977,7.218,8.521,9.869,11.223,12.574,13.881,15.116,16.32,17.463,18.516,19.481,20.309
OECD Env-Growth,SSP1_v9_130325,TWN,GDP|PPP,billion US$2005/yr,0,0,742.813,889.439,1073.988,1208.735,1321.155,1424.861,1513.084,1570.705,1593.012,1587.286,1574.961,1608.617,1631.834,1638.589,1633.208,1610.471,1576.924,1534.288,1482.39
OECD Env-Growth,SSP1_v9_130325,BOL,GDP|PPP,billion US$2005/yr,29.632,34.502,43.19,54.225,68.298,89.307,118.718,156.997,203.564,257.63,317.65,382.615,450.589,520.14,588.911,655.472,720.418,782.093,839.14,891.251,937.632
OECD Env-Growth,SSP1_v9_130325,BRA,GDP|PPP,billion US$2005/yr,1379.549,1582.642,1967.541,2303.632,2796.631,3352.735,3996.137,4746.484,5564.084,6401.209,7214.073,8003.391,8752.903,9417.131,9990.134,10500.273,10932.888,11279.24,11525.444,11679.776,11736.066
OECD Env-Growth,SSP1_v9_130325,BRB,GDP|PPP,billion US$2005/yr,4.862,4.86,4.804,5.074,5.608,6.152,6.834,7.613,8.399,9.174,9.865,10.438,10.888,11.256,11.585,11.798,11.936,11.988,11.967,11.87,11.683
OECD Env-Growth,SSP1_v9_130325,BRN,GDP|PPP,billion US$2005/yr,15.854,17.567,18.153,20.759,24.275,27.904,31.801,35.814,39.663,43.171,46.38,49.243,51.776,53.833,55.262,56.069,56.479,56.55,56.326,55.777,54.836
OECD Env-Growth,SSP1_v9_130325,BTN,GDP|PPP,billion US$2005/yr,1.544,2.294,3.47,5.645,9.745,14.778,21.123,28.792,37.479,46.937,56.626,66.24,75.636,84.54,92.511,99.32,104.872,109.138,112.318,114.53,115.549
OECD Env-Growth,SSP1_v9_130325,BWA,GDP|PPP,billion US$2005/yr,16.755,21.649,25.012,30.877,38.707,47.195,56.86,67.517,78.903,90.491,101.945,113.06,123.788,133.693,142.268,149.115,154.457,158.3,160.988,162.633,163.043
OECD Env-Growth,SSP1_v9_130325,CAF,GDP|PPP,billion US$2005/yr,2.835,2.7,3.114,3.811,4.983,6.847,9.86,14.601,21.613,31.519,44.885,62.134,83.485,108.793,137.667,169.452,203.713,239.504,275.889,312.175,347.344
OECD Env-Growth,SSP1_v9_130325,CAN,GDP|PPP,billion US$2005/yr,998.233,1131.835,1201.888,1355.371,1537.669,1689.67,1845.407,2031.119,2237.861,2457.282,2679.576,2907.507,3156.571,3432.186,3722.703,4012.466,4300.718,4573.909,4831.523,5078.94,5318.188
OECD Env-Growth,SSP1_v9_130325,CHE,GDP|PPP,billion US$2005/yr,249.381,266.122,294.115,322.868,358.279,395.329,435.502,480.062,529.457,581.862,634.462,687.146,740.681,794.588,847.373,897.581,944.977,988.718,1029.176,1066.832,1102.079
OECD Env-Growth,SSP1_v9_130325,CHL,GDP|PPP,billion US$2005/yr,161.87,198.286,232.988,294.581,365.612,443.298,529.693,623.966,721.861,818.244,904.435,979.184,1045.724,1106.189,1157.032,1195.228,1223.764,1242.308,1250.616,1248.955,1237.188
OECD Env-Growth,SSP1_v9_130325,CHN,GDP|PPP,billion US$2005/yr,3367.175,5362.83,9121.348,13852.361,20548.481,28870.283,38292.486,47784.223,56255.385,63353.901,68441.845,71441.844,73146.034,73727.083,73350.542,72049.555,70406.708,68308.348,65970.131,63440.417,60660.498
OECD Env-Growth,SSP1_v9_130325,CIV,GDP|PPP,billion US$2005/yr,30.024,30.023,33.443,41.008,59.253,94.175,149.694,229.08,332.45,458.868,604.593,767.184,942.174,1124.891,1308.748,1488.787,1665.306,1835.019,1993.679,2138.837,2266.788
OECD Env-Growth,SSP1_v9_130325,CMR,GDP|PPP,billion US$2005/yr,29.056,34.857,40.336,50.073,65.024,88.458,124.026,175.188,243.868,331.538,438.814,566.081,712.204,874.014,1045.072,1218.951,1395.04,1569.146,1737.047,1895.392,2039.167
OECD Env-Growth,SSP1_v9_130325,COD,GDP|PPP,billion US$2005/yr,12.912,15.905,20.876,29.356,44.117,76.517,136.034,237.933,398.47,636.284,966.031,1399.525,1944.8,2601.045,3358.767,4201.616,5110.627,6062.652,7033.325,8003.538,8947.868
OECD Env-Growth,SSP1_v9_130325,COG,GDP|PPP,billion US$2005/yr,9.783,11.946,15.396,22.455,30.143,41.757,57.555,78.402,104.378,135.388,171.163,211.247,254.827,300.218,345.604,389.452,432.079,472.376,509.438,542.589,570.883
OECD Env-Growth,SSP1_v9_130325,COL,GDP|PPP,billion US$2005/yr,263.194,314.392,392.55,491.259,599.464,712.581,871.298,1072.84,1304.33,1554.12,1813.793,2078.494,2342.193,2599.431,2841.601,3061.678,3265.458,3447.534,3600.194,3721.15,3805.96
OECD Env-Growth,SSP1_v9_130325,COM,GDP|PPP,billion US$2005/yr,0.59,0.677,0.723,0.822,1.016,1.419,2.096,3.133,4.582,6.502,8.944,11.971,15.551,19.56,23.801,28.134,32.652,37.337,42.02,46.515,50.658
OECD Env-Growth,SSP1_v9_130325,CPV,GDP|PPP,billion US$2005/yr,0.956,1.243,1.723,2.124,2.666,3.386,4.326,5.501,6.855,8.325,9.821,11.282,12.672,14.032,15.332,16.547,17.684,18.741,19.71,20.594,21.37
