# Data copied from SSP version 9 database (downloaded in 2014),,,,,,,,,,,,,,,,,,,,,,,,,
# Zeroes for Taiwan (TWN) replaced with UN population estimates for XEA region in 2000 and 2005 time periods,,,,,,,,,,,,,,,,,,,,,,,,,
MODEL,SCENARIO,REGION,VARIABLE,UNIT,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD Env-Growth,SSP1_v9_130325,BHS,Population,million,0.298,0.319,0.343,0.364,0.383,0.399,0.413,0.425,0.434,0.44,0.444,0.444,0.443,0.438,0.43,0.421,0.409,0.395,0.378,0.358,0.338
OECD Env-Growth,SSP1_v9_130325,BIH,Population,million,3.694,3.781,3.76,3.743,3.713,3.668,3.608,3.537,3.453,3.356,3.244,3.121,2.99,2.852,2.709,2.562,2.412,2.255,2.092,1.93,1.77
OECD Env-Growth,SSP1_v9_130325,BLR,Population,million,10.058,9.825,9.595,9.422,9.238,9.038,8.827,8.621,8.417,8.198,7.953,7.687,7.41,7.121,6.822,6.512,6.191,5.867,5.541,5.205,4.869
OECD Env-Growth,SSP1_v9_130325,BLZ,Population,million,0.251,0.281,0.312,0.336,0.356,0.37,0.38,0.387,0.391,0.392,0.39,0.386,0.38,0.372,0.364,0.356,0.346,0.336,0.324,0.31,0.295
OECD Env-Growth,SSP1_v9_130325,TWN,Population,million,21.936,22.728,23.027,23.442,23.544,23.523,23.369,23.031,22.433,21.582,20.517,19.317,18.308,18.107,17.722,17.189,16.533,15.719,14.781,13.76,12.692
OECD Env-Growth,SSP1_v9_130325,BOL,Population,million,8.307,9.147,9.93,10.555,11.072,11.504,11.835,12.084,12.245,12.314,12.297,12.21,12.057,11.867,11.642,11.38,11.081,10.749,10.39,10.012,9.625
OECD Env-Growth,SSP1_v9_130325,BRA,Population,million,174.425,185.987,194.946,202.295,208.26,212.851,215.84,217.569,217.973,217.119,214.893,211.428,206.803,201.168,194.68,187.439,179.584,171.168,161.79,151.778,141.412
OECD Env-Growth,SSP1_v9_130325,BRB,Population,million,0.268,0.271,0.273,0.276,0.277,0.278,0.276,0.274,0.27,0.264,0.257,0.248,0.239,0.229,0.219,0.209,0.198,0.186,0.173,0.16,0.146
OECD Env-Growth,SSP1_v9_130325,BRN,Population,million,0.327,0.363,0.399,0.429,0.455,0.477,0.496,0.511,0.525,0.535,0.543,0.546,0.546,0.542,0.535,0.524,0.509,0.491,0.47,0.446,0.42
OECD Env-Growth,SSP1_v9_130325,BTN,Population,million,0.571,0.659,0.726,0.792,0.856,0.915,0.967,1.015,1.058,1.094,1.122,1.142,1.154,1.156,1.148,1.13,1.104,1.071,1.033,0.991,0.944
