newvar,var1,var2,operation,unit_conversion,unit,join_byvars
intensity,energy,vkt,/,1,MJ per vkm,"model,scenario,region,mode,technology,fuel,year"
intensity_pass,energy,pkm,/,1,MJ per pkm,"model,scenario,region,mode,technology,fuel,year"
intensity_frt,energy,tkm,/,1,MJ per tkm,"model,scenario,region,mode,technology,fuel,year"
intensity_new,sales_weighted_intensity_new,sales,/,1,MJ per vkm,"model,scenario,region,mode,technology,fuel,year"
intensity_new_stock_weight,stock_weighted_intensity_new,stock,/,1,MJ per vkm,"model,scenario,region,mode,technology,fuel,year"
ttw_co2e,ttw_co2,ttw_ch4,+,25,Mt CO2-equiv/yr,"model,scenario,region,mode,technology,fuel,year"
wtw_co2e,ttw_co2e,wwt_co2e,+,NA,Mt CO2-equiv/yr,"model,scenario,region,mode,technology,fuel,year"
load_factor_pass,pkm,vkt,/,1,passengers per vehicle,"model,scenario,region,mode,technology,fuel,year"
load_factor_frt,tkm,vkt,/,1,tonnes per vehicle,"model,scenario,region,mode,technology,fuel,year"
ef_bc,ttw_bc,vkt,/,1,g BC per vkm,"model,scenario,region,mode,technology,fuel,year"
ef_co2,ttw_co2,vkt,/,1,g CO2 per vkm,"model,scenario,region,mode,technology,fuel,year"
ef_co2_pass,ttw_co2,pkm,/,1,g CO2 per pkm,"model,scenario,region,mode,technology,fuel,year"
ef_co2_frt,ttw_co2,tkm,/,1,g CO2 per tkm,"model,scenario,region,mode,technology,fuel,year"
ef_co2_fuel,ttw_co2,energy,/,1000,g CO2 per MJ,"model,scenario,region,mode,technology,fuel,year"
energy_percapita,energy,Population,/,1,GJ/person/yr,"model,scenario,region,year"
pkm_percapita,pkm,Population,/,1,thousand pkm/person/yr,"model,scenario,region,year"
tkm_percapita,tkm,Population,/,1,thousand tkm/person/yr,"model,scenario,region,year"
stock_percapita,stock,Population,/,1000,Vehicles per thousand persons,"model,scenario,region,year"
ttw_co2_percapita,ttw_co2,Population,/,1,t CO2/person/yr,"model,scenario,region,year"
PPP-GDP_percapita,PPP-GDP,Population,/,1,thous US$2005/pers/yr,"model,scenario,region,year"
energy_perGDP,energy,PPP-GDP,/,1,MJ/US$2005,"model,scenario,region,year"
pkm_perGDP,pkm,PPP-GDP,/,1,pkm/US$2005,"model,scenario,region,year"
tkm_perGDP,tkm,PPP-GDP,/,1,tkm/US$2005,"model,scenario,region,year"
vkt_perGDP,vkt,PPP-GDP,/,1,vkm/US$2005,"model,scenario,region,year"
stock_perGDP,stock,PPP-GDP,/,1000,vehicles/million US$2005,"model,scenario,region,year"
ttw_co2_perGDP,ttw_co2,PPP-GDP,/,1,kg CO2/US$2005,"model,scenario,region,year"
