model,scenario,region,variable,unit,mode,technology,fuel,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
,,,Population,million,,,,,,,,,,,,,,
,,,PPP-GDP,billion US$2005/yr,,,,,,,,,,,,,,
,,,Carbon Price,US$2005/tCO2eq,,,,,,,,,,,,,,
,,,CO2 Emissions (all sectors),Mt CO2/yr,,,,,,,,,,,,,,
,,,GHG Emissions (all sectors),Mt CO2-equiv/yr,,,,,,,,,,,,,,
,,,CO2 Concentration,ppm,,,,,,,,,,,,,,
,,,CO2eq Concentration,ppm,,,,,,,,,,,,,,
,,,Radiative Forcing,W/m2,,,,,,,,,,,,,,
,,,energy,PJ/yr,2W and 3W,Liquids,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,2W and 3W,Liquids,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,2W and 3W,Electric,Electricity,,,,,,,,,,,
,,,energy,PJ/yr,2W and 3W,Hydrogen,Hydrogen,,,,,,,,,,,
,,,energy,PJ/yr,2W and 3W,NG,Natural Gas,,,,,,,,,,,
,,,energy,PJ/yr,2W and 3W,PHEV,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,2W and 3W,PHEV,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,2W and 3W,PHEV,Electricity,,,,,,,,,,,
,,,energy,PJ/yr,Aviation,Liquids,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Aviation,Liquids,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Aviation,Hydrogen,Hydrogen,,,,,,,,,,,
,,,energy,PJ/yr,Bus,Liquids,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Bus,Liquids,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Bus,Electric,Electricity,,,,,,,,,,,
,,,energy,PJ/yr,Bus,Hydrogen,Hydrogen,,,,,,,,,,,
,,,energy,PJ/yr,Bus,NG,Natural Gas,,,,,,,,,,,
,,,energy,PJ/yr,Bus,PHEV,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Bus,PHEV,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Bus,PHEV,Electricity,,,,,,,,,,,
,,,energy,PJ/yr,Domestic Shipping,Liquids,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Domestic Shipping,Liquids,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Domestic Shipping,Hydrogen,Hydrogen,,,,,,,,,,,
,,,energy,PJ/yr,Domestic Shipping,NG,Natural Gas,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail and Air and Ship,Coal,Coal,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail and Air and Ship,Liquids,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail and Air and Ship,Liquids,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail and Air and Ship,Electric,Electricity,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail and Air and Ship,Hydrogen,Hydrogen,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail and Air and Ship,NG,Natural Gas,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail,Coal,Coal,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail,Liquids,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail,Liquids,Biomass Liquids,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail,Electric,Electricity,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail,Hydrogen,Hydrogen,,,,,,,,,,,
,,,energy,PJ/yr,Freight Rail,NG,Natural Gas,,,,,,,,,,,
,,,energy,PJ/yr,HDT,Liquids,Fossil Liquids,,,,,,,,,,,
,,,energy,PJ/yr,HDT,Liquids,Biomass Liquids,,,,,,,,,,,
