region,sector,subsector,vkt_veh
Africa_Eastern,trn_pass_road_LDV,Three-Wheeler,8478
Africa_Eastern,trn_pass_road_LDV_2W,Motorcycle (50-250cc),8478
Africa_Eastern,trn_pass_road_LDV_4W,Compact Car,10391
Africa_Eastern,trn_pass_road_LDV_4W,Mini Car,10391
Africa_Eastern,trn_pass_road_LDV_4W,Multipurpose Vehicle,10391
Africa_Eastern,trn_pass_road_LDV_4W,Subcompact Car,10391
Africa_Northern,trn_pass_road_LDV,Three-Wheeler,8478
Africa_Northern,trn_pass_road_LDV_2W,Motorcycle (50-250cc),8478
Africa_Northern,trn_pass_road_LDV_4W,Compact Car,10391
Africa_Northern,trn_pass_road_LDV_4W,Mini Car,10391
Africa_Northern,trn_pass_road_LDV_4W,Multipurpose Vehicle,10391
Africa_Northern,trn_pass_road_LDV_4W,Subcompact Car,10391
Africa_Southern,trn_pass_road_LDV,Three-Wheeler,8478
Africa_Southern,trn_pass_road_LDV_2W,Motorcycle (50-250cc),8478
Africa_Southern,trn_pass_road_LDV_4W,Compact Car,10391
Africa_Southern,trn_pass_road_LDV_4W,Mini Car,10391
Africa_Southern,trn_pass_road_LDV_4W,Multipurpose Vehicle,10391
Africa_Southern,trn_pass_road_LDV_4W,Subcompact Car,10391
Africa_Western,trn_pass_road_LDV,Three-Wheeler,8478
Africa_Western,trn_pass_road_LDV_2W,Motorcycle (50-250cc),8478
Africa_Western,trn_pass_road_LDV_4W,Compact Car,10391
Africa_Western,trn_pass_road_LDV_4W,Mini Car,10391
Africa_Western,trn_pass_road_LDV_4W,Multipurpose Vehicle,10391
Africa_Western,trn_pass_road_LDV_4W,Subcompact Car,10391
Argentina,trn_pass_road_LDV_2W,Moped,4500
Argentina,trn_pass_road_LDV_2W,Motorcycle (50-250cc),6000
Argentina,trn_pass_road_LDV_2W,Motorcycle (>250cc),6000
Argentina,trn_pass_road_LDV_4W,Compact Car,14000
Argentina,trn_pass_road_LDV_4W,Large Car and SUV,14000
Argentina,trn_pass_road_LDV_4W,Mini Car,14000
Argentina,trn_pass_road_LDV_4W,Subcompact Car,14000
Australia_NZ,trn_pass_road_LDV_2W,Motorcycle (>250cc),3438
Australia_NZ,trn_pass_road_LDV_4W,Compact Car,11081
Australia_NZ,trn_pass_road_LDV_4W,Large Car,13543
Australia_NZ,trn_pass_road_LDV_4W,Light Truck and SUV,13543
Australia_NZ,trn_pass_road_LDV_4W,Midsize Car,11081
Brazil,trn_pass_road_LDV_2W,Moped,4500
Brazil,trn_pass_road_LDV_2W,Motorcycle (50-250cc),6000
Brazil,trn_pass_road_LDV_2W,Motorcycle (>250cc),6000
Brazil,trn_pass_road_LDV_4W,Compact Car,14000
Brazil,trn_pass_road_LDV_4W,Large Car and SUV,14000
Brazil,trn_pass_road_LDV_4W,Mini Car,14000
Brazil,trn_pass_road_LDV_4W,Subcompact Car,14000
Canada,trn_pass_road_LDV_2W,Motorcycle (>250cc),4000
Canada,trn_pass_road_LDV_4W,Light Truck and SUV,17480
Canada,trn_pass_road_LDV_4W,Midsize Car,14638
Canada,trn_pass_road_LDV_4W,Van,16800
Central America and Caribbean,trn_pass_road_LDV_2W,Moped,4500
Central America and Caribbean,trn_pass_road_LDV_2W,Motorcycle (50-250cc),6000
Central America and Caribbean,trn_pass_road_LDV_2W,Motorcycle (>250cc),6000
Central America and Caribbean,trn_pass_road_LDV_4W,Compact Car,14000
Central America and Caribbean,trn_pass_road_LDV_4W,Large Car and SUV,14000
Central America and Caribbean,trn_pass_road_LDV_4W,Mini Car,14000
Central America and Caribbean,trn_pass_road_LDV_4W,Subcompact Car,14000
Central America and Caribbean,trn_pass_road_LDV_4W,Van,11646
Central Asia,trn_pass_road_LDV,Three-Wheeler,8478
Central Asia,trn_pass_road_LDV_2W,Moped,7829
Central Asia,trn_pass_road_LDV_2W,Motorcycle (50-250cc),7829
Central Asia,trn_pass_road_LDV_2W,Motorcycle (>250cc),7829
Central Asia,trn_pass_road_LDV_4W,Compact Car,11482
Central Asia,trn_pass_road_LDV_4W,Large Car and SUV,11482
Central Asia,trn_pass_road_LDV_4W,Midsize Car,11482
Central Asia,trn_pass_road_LDV_4W,Mini Car,10391
Central Asia,trn_pass_road_LDV_4W,Subcompact Car,11482
China,trn_pass_road_LDV,Three-Wheeler,21932
China,trn_pass_road_LDV_2W,Moped,8478
China,trn_pass_road_LDV_2W,Motorcycle (50-250cc),9145
China,trn_pass_road_LDV_2W,Scooter,8478
China,trn_pass_road_LDV_4W,Compact Car,19486
China,trn_pass_road_LDV_4W,Large Car and SUV,19650
China,trn_pass_road_LDV_4W,Mini Car,21932
China,trn_pass_road_LDV_4W,Multipurpose Vehicle,9466
China,trn_pass_road_LDV_4W,Subcompact Car,21632
Colombia,trn_pass_road_LDV_2W,Moped,4500
Colombia,trn_pass_road_LDV_2W,Motorcycle (50-250cc),6000
