"Mode","Technology","Fuel","Variable"
"","","","CO2eq Concentration"
"2W and 3W","Hydrogen","Hydrogen","energy"
"2W and 3W","PHEV","Fossil Liquids","energy"
"2W and 3W","PHEV","Biomass Liquids","energy"
"2W and 3W","PHEV","Electricity","energy"
"Aviation","Hydrogen","Hydrogen","energy"
"Bus","Electric","Electricity","energy"
"Bus","Hydrogen","Hydrogen","energy"
"Bus","PHEV","Fossil Liquids","energy"
"Bus","PHEV","Biomass Liquids","energy"
"Bus","PHEV","Electricity","energy"
"Domestic Shipping","Hydrogen","Hydrogen","energy"
"Domestic Shipping","NG","Natural Gas","energy"
"Freight Rail and Air and Ship","Coal","Coal","energy"
"Freight Rail and Air and Ship","Liquids","Fossil Liquids","energy"
"Freight Rail and Air and Ship","Liquids","Biomass Liquids","energy"
"Freight Rail and Air and Ship","Electric","Electricity","energy"
"Freight Rail and Air and Ship","Hydrogen","Hydrogen","energy"
"Freight Rail and Air and Ship","NG","Natural Gas","energy"
"Freight Rail","Hydrogen","Hydrogen","energy"
"Freight Rail","NG","Natural Gas","energy"
"HDT","Hydrogen","Hydrogen","energy"
"HDT","PHEV","Fossil Liquids","energy"
"HDT","PHEV","Biomass Liquids","energy"
"HDT","PHEV","Electricity","energy"
"International Shipping","Hydrogen","Hydrogen","energy"
"International Shipping","NG","Natural Gas","energy"
"LDV","PHEV","Fossil Liquids","energy"
"LDV","PHEV","Biomass Liquids","energy"
"LDV","PHEV","Electricity","energy"
"Passenger Rail","Hydrogen","Hydrogen","energy"
"Passenger Rail","NG","Natural Gas","energy"
"2W and 3W","Hydrogen","Hydrogen","intensity_new"
"2W and 3W","PHEV","Total Liquids","intensity_new"
"2W and 3W","PHEV","Electricity","intensity_new"
"HDT","Hydrogen","Hydrogen","intensity_new"
"HDT","PHEV","Total Liquids","intensity_new"
"HDT","PHEV","Electricity","intensity_new"
"LDV","PHEV","Total Liquids","intensity_new"
"LDV","PHEV","Electricity","intensity_new"
"2W and 3W","Hydrogen","Hydrogen","pkm"
"2W and 3W","PHEV","Total Liquids","pkm"
"2W and 3W","PHEV","Electricity","pkm"
"Aviation","Hydrogen","Hydrogen","pkm"
"Bus","Electric","Electricity","pkm"
"Bus","Hydrogen","Hydrogen","pkm"
"Bus","PHEV","Total Liquids","pkm"
"Bus","PHEV","Electricity","pkm"
"LDV","PHEV","Total Liquids","pkm"
"LDV","PHEV","Electricity","pkm"
"Passenger Rail","Hydrogen","Hydrogen","pkm"
"Passenger Rail","NG","Natural Gas","pkm"
"2W and 3W","Hydrogen","Hydrogen","sales"
"2W and 3W","PHEV","All","sales"
"HDT","Liquids","Total Liquids","sales"
"HDT","Electric","Electricity","sales"
"HDT","Hydrogen","Hydrogen","sales"
"HDT","NG","Natural Gas","sales"
"HDT","PHEV","All","sales"
"LDV","PHEV","All","sales"
"2W and 3W","Hydrogen","Hydrogen","stock"
"2W and 3W","PHEV","All","stock"
"HDT","Liquids","Total Liquids","stock"
"HDT","Electric","Electricity","stock"
"HDT","Hydrogen","Hydrogen","stock"
"HDT","NG","Natural Gas","stock"
"HDT","PHEV","All","stock"
"LDV","PHEV","All","stock"
"Domestic Shipping","Hydrogen","Hydrogen","tkm"
"Domestic Shipping","NG","Natural Gas","tkm"
"Freight Rail","Hydrogen","Hydrogen","tkm"
"Freight Rail","NG","Natural Gas","tkm"
"HDT","Hydrogen","Hydrogen","tkm"
"HDT","PHEV","Total Liquids","tkm"
"HDT","PHEV","Electricity","tkm"
"International Shipping","Hydrogen","Hydrogen","tkm"
"International Shipping","NG","Natural Gas","tkm"
"2W and 3W","Electric","Electricity","ttw_bc"
"2W and 3W","Hydrogen","Hydrogen","ttw_bc"
