region,Region
Africa_Eastern,Africa
Africa_Northern,Africa
Africa_Southern,Africa
Africa_Western,Africa
Argentina,Other Latin America
Australia_NZ,Australia_NZ
Brazil,Brazil
Canada,Canada
Central America and Caribbean,Other Latin America
Central Asia,Central Asia
China,China
Colombia,Other Latin America
EU-12,EU-27
EU-15,EU-27
Europe_Eastern,Non-EU Europe
Europe_Non_EU,Non-EU Europe
European Free Trade Association,Non-EU Europe
India,India
Indonesia,Other Asia
Japan,Japan
Mexico,Mexico
Middle East,Middle East
Pakistan,Other Asia
Russia,Russia
South Africa,Africa
South America_Northern,Other Latin America
South America_Southern,Other Latin America
South Asia,Other Asia
South Korea,South Korea
Southeast Asia,Other Asia
Taiwan,China
USA,USA
