sector,subsector,technology,input,Mode,Technology,Fuel,service,service_unit
trn_pass,Domestic Aviation,Liquids,refined liquids enduse,Aviation,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass,HSR,Electric,elect_td_trn,Passenger Rail,Electric,Electricity,pkm,bn pkm/yr
trn_pass,Passenger Rail,Liquids,refined liquids enduse,Passenger Rail,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass,Passenger Rail,Electric,elect_td_trn,Passenger Rail,Electric,Electricity,pkm,bn pkm/yr
trn_pass,Passenger Rail,Tech-Adv-Liquid,refined liquids enduse,Passenger Rail,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass,Passenger Rail,Tech-Adv-Electric,elect_td_trn,Passenger Rail,Electric,Electricity,pkm,bn pkm/yr
trn_pass_road,Bus,Liquids,refined liquids enduse,Bus,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road,Bus,NG,delivered gas,Bus,NG,Natural Gas,pkm,bn pkm/yr
trn_pass_road_bus,Light Bus,Liquids,refined liquids enduse,Bus,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_bus,Light Bus,NG,delivered gas,Bus,NG,Natural Gas,pkm,bn pkm/yr
trn_pass_road_bus,Heavy Bus,Liquids,refined liquids enduse,Bus,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_bus,Heavy Bus,NG,delivered gas,Bus,NG,Natural Gas,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Mini Car,Liquids,refined liquids enduse,LDV,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,refined liquids enduse,LDV,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Mini Car,NG,delivered gas,LDV,NG,Natural Gas,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Mini Car,BEV,elect_td_trn,LDV,Electric,Electricity,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Mini Car,FCEV,H2 Enduse,LDV,Hydrogen,Hydrogen,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Subcompact Car,Liquids,refined liquids enduse,LDV,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Subcompact Car,Hybrid Liquids,refined liquids enduse,LDV,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Subcompact Car,NG,delivered gas,LDV,NG,Natural Gas,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Subcompact Car,BEV,elect_td_trn,LDV,Electric,Electricity,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Subcompact Car,FCEV,H2 Enduse,LDV,Hydrogen,Hydrogen,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Compact Car,Liquids,refined liquids enduse,LDV,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Compact Car,Hybrid Liquids,refined liquids enduse,LDV,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Compact Car,NG,delivered gas,LDV,NG,Natural Gas,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Compact Car,BEV,elect_td_trn,LDV,Electric,Electricity,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Compact Car,FCEV,H2 Enduse,LDV,Hydrogen,Hydrogen,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Midsize Car,Liquids,refined liquids enduse,LDV,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Midsize Car,Hybrid Liquids,refined liquids enduse,LDV,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Midsize Car,NG,delivered gas,LDV,NG,Natural Gas,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Midsize Car,BEV,elect_td_trn,LDV,Electric,Electricity,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Midsize Car,FCEV,H2 Enduse,LDV,Hydrogen,Hydrogen,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Large Car,Liquids,refined liquids enduse,LDV,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Large Car,Hybrid Liquids,refined liquids enduse,LDV,Liquids,Total Liquids,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Large Car,NG,delivered gas,LDV,NG,Natural Gas,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Large Car,BEV,elect_td_trn,LDV,Electric,Electricity,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Large Car,FCEV,H2 Enduse,LDV,Hydrogen,Hydrogen,pkm,bn pkm/yr
trn_pass_road_LDV_4W,Van,Liquids,refined liquids enduse,LDV,Liquids,Total Liquids,pkm,bn pkm/yr
