Source,Country,ISO Code,Region,Variable,Unit,Service,Mode,Vehicle Type,Technology,Fuel,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Data quality flag
ATO2023 TAS-FRA-005(2),Afghanistan,AFG,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,!!
ATO2023 TAS-FRA-005(2),Armenia,ARM,Non-EU Europe,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222,0.2,0.381,0.419,0.323,0.354,0.344,0.452,0.529,0.678,0.6541359999999999,0.354,,0.32639999999999997,,0.3459,,,,0.7861,0.6404,0.658,0.6894600000000001,0.73,0.86,0.84,!!
ATO2023 TAS-FRA-005(2),Australia,AUS,Australia,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.241,26.368,28.408,30.119,31.182,33.592,38.049,40.628,41.314,42.3,46.164,46.4864401216511,60.1261833922525,61.0885799351659,62.0834452958684,64.1716558809923,59.649184619731905,6.023,,,,,,,,,!!
ATO2023 TAS-FRA-005(2),Azerbaijan,AZE,Non-EU Europe,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.409,2.778,3.515,4.702,5.205,5.77,6.142,6.98,7.719,7.551,,11.059,10.374,10.0214,7.592,8.2499,7.8455,8.212200000000001,7.9583,7.3709,6.2105,5.192,4.633,4.4918000000000005,5.1517,4.8613,!!
ATO2023 TAS-FRA-005(2),Bangladesh,BGD,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.689,0.782,0.804,0.896,0.896,0.777,0.908,0.952,0.952,0.896,0.817,,0.776,0.87,0.8,0.71,0.693,0.582,0.525,0.677,0.694,1.053,,,,,!!
ATO2023 TAS-FRA-005(2),Bhutan,BTN,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,!!
ATO2023 TAS-FRA-005(2),Brunei Darussalam,BRN,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,!!
ATO2023 TAS-FRA-005(2),Cambodia,KHM,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.035,0.075,0.078,0.092,,,0.092,,,,,,,,,,,,,,,,,,!!
ATO2023 TAS-FRA-005(2),China,CHN,China,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283.601,1292.185,1304.641,1226.152,1257.789,1333.606,1424.98,1521.911,1647.558,1828.548,1953.336,2055.716,2211.246,2510.629,2523.917,2451.185,2562.635,2518.31,2473.477,2308.669,1980.061,1920.285,2146.466,2238.435,2294.814,2254.808,!!
ATO2023 TAS-FRA-005(2),Cook Islands,COK,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,!!
