Country,ISO Code,Region,Variable,Unit,Vehicle Type,Technology,Fuel,ID,Mode,Source,Service,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Data quality flag
Afghanistan,AFG,Other Asia-Pacific,Passenger Activity,10^9 passenger-km / yr,All,All,All,T013,Road,ATO2023 TAS-PAG-005(2),Passenger,,,,,,,,,,0.202,0.232,0.229,!
Armenia,ARM,Non-EU Europe,Passenger Activity,10^9 passenger-km / yr,All,All,All,T013,Road,ATO2023 TAS-PAG-005(2),Passenger,2.209,2.022,1.562,1.711800049,1.867,1.974099976,2.1313,2.5585,2.6695,2.7417,2.515,2.5115,!
Australia,AUS,Australia,Passenger Activity,10^9 passenger-km / yr,All,All,All,T013,Road,ATO2023 TAS-PAG-005(2),Passenger,,,,,,288.158,290.28,298.89,302.123,302.369,301.45,303.8,!
Azerbaijan,AZE,Non-EU Europe,Passenger Activity,10^9 passenger-km / yr,All,All,All,T013,Road,ATO2023 TAS-PAG-005(2),Passenger,,9.153,9.442,9.603,9.861,10.279,10.892,11.786,12.893,14.041,15.291,16.633,!
Bangladesh,BGD,Other Asia-Pacific,Passenger Activity,10^9 passenger-km / yr,All,All,All,T013,Road,ATO2023 TAS-PAG-005(2),Passenger,,,,,,,,,,,,,!
Bhutan,BTN,Other Asia-Pacific,Passenger Activity,10^9 passenger-km / yr,All,All,All,T013,Road,ATO2023 TAS-PAG-005(2),Passenger,,,,,,,,,,,,,!
Brunei Darussalam,BRN,Other Asia-Pacific,Passenger Activity,10^9 passenger-km / yr,All,All,All,T013,Road,ATO2023 TAS-PAG-005(2),Passenger,,,,,,,,,,,,,!
Cambodia,KHM,Other Asia-Pacific,Passenger Activity,10^9 passenger-km / yr,All,All,All,T013,Road,ATO2023 TAS-PAG-005(2),Passenger,0.201,0.201,0.201,,,,,,,,,,!
China,CHN,China,Passenger Activity,10^9 passenger-km / yr,All,All,All,T013,Road,ATO2023 TAS-PAG-005(2),Passenger,619.92,665.74,720.71,780.577,769.56,874.84,929.208,1013.085,1150.677,1247.611,1351.144,1502.081,!
Cook Islands,COK,Other Asia-Pacific,Passenger Activity,10^9 passenger-km / yr,All,All,All,T013,Road,ATO2023 TAS-PAG-005(2),Passenger,,,,,,,,,,,,,!
Fiji,FJI,Other Asia-Pacific,Passenger Activity,10^9 passenger-km / yr,All,All,All,T013,Road,ATO2023 TAS-PAG-005(2),Passenger,,,,,,,,,,,,,!
