Country,ISO Code,Region,Variable,Unit,Vehicle Type,Technology,Fuel,ID,Mode,Source,Service,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Data quality flag
Afghanistan,AFG,Other Asia-Pacific,Passenger Activity,10^9 passenger-km / yr,All,All,All,T011,Aviation,ATO2023 TAS-PAT-017(1),Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,!
Armenia,ARM,Non-EU Europe,Passenger Activity,10^9 passenger-km / yr,All,All,All,T011,Aviation,ATO2023 TAS-PAT-017(1),Passenger,,,,,,1.012,0.9581000000000001,0.047700000000000006,0.030100000000000002,0.027100000000000003,0.023399999999999997,0.7251000000000001,0.7539,0.7182000000000001,0.984,0.9595,0.8222,0.9936,1.1271,1.1513,1.2786,0.9512999999999999,0.7255,0.12040000000000001,0.336,,0.027399999999999997,0.1197,0.1212,0.2903,0.103,0.4165,,!
Australia,AUS,Australia,Passenger Activity,10^9 passenger-km / yr,All,All,All,T011,Aviation,ATO2023 TAS-PAT-017(1),Passenger,15.97886749473893,20.72451574138221,20.994003749135288,24.42839078793675,26.97606791586929,28.98072231840373,29.9804795990861,30.44386900071954,31.0565569117636,32.84469909522486,35.676605211399995,33.009322557153176,35.83305515962474,41.148782307738784,45.89922895142378,48.69774254340441,53.01329704781573,57.242574974566324,58.62621940132543,60.223307386779325,64.55694406544437,66.40650643916572,69.65889882938758,70.85757880552352,70.16214367961446,71.48422695131605,72.01348024430449,73.43362112609252,73.75987585256104,55.70790470217593,28.186042561928428,37.83544884340266,,!
Azerbaijan,AZE,Non-EU Europe,Passenger Activity,10^9 passenger-km / yr,All,All,All,T011,Aviation,ATO2023 TAS-PAT-017(1),Passenger,4.869,4.549,3.292,2.456,2.026,1.733,1.794,1.442,1.174,0.835,0.798,0.827,0.884,1.113,1.45,1.588,1.686,1.999,2.002,1.488,1.613,2.106,2.476,2.579,2.918,3.338,3.549,5.601,5.199,4.75,0.984,2.334,,!
Bangladesh,BGD,Other Asia-Pacific,Passenger Activity,10^9 passenger-km / yr,All,All,All,T011,Aviation,ATO2023 TAS-PAT-017(1),Passenger,,,,,,,,,,,,,,,4.902,5.163,5.085,4.186,4.717,4.953,5.027,5.051,5.564,5.292,5.207,6.645,6.937,6.937,7.072,,,,,!
Bhutan,BTN,Other Asia-Pacific,Passenger Activity,10^9 passenger-km / yr,All,All,All,T011,Aviation,ATO2023 TAS-PAT-017(1),Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,!
Brunei Darussalam,BRN,Other Asia-Pacific,Passenger Activity,10^9 passenger-km / yr,All,All,All,T011,Aviation,ATO2023 TAS-PAT-017(1),Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,!
Cambodia,KHM,Other Asia-Pacific,Passenger Activity,10^9 passenger-km / yr,All,All,All,T011,Aviation,ATO2023 TAS-PAT-017(1),Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,!
China,CHN,China,Passenger Activity,10^9 passenger-km / yr,All,All,All,T011,Aviation,ATO2023 TAS-PAT-017(1),Passenger,20.934639999999998,,,,,,,,,,97.05436999999999,,,,,,,,,,403.89959999999996,,,,,,,951.30357,1071.23166,1170.52971,631.13,652.97,,!
Cook Islands,COK,Other Asia-Pacific,Passenger Activity,10^9 passenger-km / yr,All,All,All,T011,Aviation,ATO2023 TAS-PAT-017(1),Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,!
