Country,ISO Code,Region,Variable,Unit,Vehicle Type,Technology,Fuel,ID,Mode,Source,Service,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Data quality flag
Afghanistan,AFG,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,,,,,,,,,,,,,,,,!
Armenia,ARM,Non-EU Europe,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.01143,0.013072,0.009039,0.004201,0.004486,0.0041,0.00474,0.0042,0.00437,0.004545,0.002,0.00222,0.00245,0.0018,0.00121,0.000805,!
Australia,AUS,Australia,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,,,,,,,,,,,,,,,,!
Azerbaijan,AZE,Non-EU Europe,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.01267,0.007008,0.0186,0.014357,0.011071,0.012244,0.009722,0.015469,0.02267,0.025175,0.0105,0.00415,0.002,0.004,0.0067,0.004485,!
Bangladesh,BGD,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.015,0.003996,0.0039,0.004092,0.001548,0.00162,0.001512,0.002078,0.004899,0.005981,0.006156,0.0045,0.0048,0.00465,0.0049,0.002598,!
Bhutan,BTN,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,0.002592,0.002592,0.002592,0.002592,0.002592,0.002592,0.000228,0.002004,0.002592,0.002584,0.0025,0.0066,0.005532,0.00635,0.00333,!
Brunei Darussalam,BRN,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.016,0.012523,0.014354,0.014731,0.0135,0.0096,0.014544,0.018635,0.0142,0.01745,0.013,0.0125,0.0128,0.013,0.0116,0.012183,!
Cambodia,KHM,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.0017,0.0012,0.000996,0.000996,0.000132,0.000168,0.000163,0.002316,0.002817,0.003371,0.003908,0.00426,0.004416,0.004174,0.004567,0.00349,!
China,CHN,China,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,5.758189,6.589633,7.770571,8.257284,12.433245,16.385832,17.265841,18.432999,20.715548,22.394707,23.6088,27.198529,27.562708,27.007879,24.464235,,!
Cook Islands,COK,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,,,,,,,,,,,,,,,,!
Fiji,FJI,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,,,,,,,0.001003,0.002059,0.002547,0.002586,0.00287,0.0031,0.003948,0.003699,0.002712,!
Georgia,GEO,Non-EU Europe,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.0027,0.007494,0.002709,0.00367,0.003676,0.0034,0.0039,0.0036,0.003745,0.003895,0.003,0.00305,0.00323,0.00352,0.0034,0.0015,!
India,IND,India,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,1.440455,1.468481,1.67401,1.709878,2.018882,2.670943,2.891997,3.206794,2.984267,2.931177,3.11755,3.34546,3.670028,3.983507,3.52804,2.858011,!
Indonesia,IDN,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.533917,0.312578,0.423312,0.587186,0.471633,0.743531,0.891478,0.951861,1.074044,1.075129,0.950429,1.016546,0.986299,1.051234,1.040754,0.48378,!
Japan,JPN,Japan,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,5.852034,5.615805,5.20706,4.994457,4.559565,4.895442,4.148574,5.289515,5.285308,5.462473,4.943192,4.848338,5.110193,5.167111,5.088912,4.503621,!
Kazakhstan,KAZ,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.042371,0.036267,0.041478,0.0445,0.044975,0.02573,0.03239,0.098231,0.165832,0.163568,0.099677,0.044857,0.046873,0.058276,0.072081,0.089202,!
Kiribati,KIR,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,,,,,,,9.9e-05,0.000138,9e-05,7.8e-05,7e-05,6e-05,7.2e-05,9.3e-05,0.000123,!
Kyrgyzstan,KGZ,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.0058,0.003696,0.004452,0.004896,0.005448,0.0048,0.00559,0.0049,0.00495,0.005,0.005,0.0021,0.00221,0.002345,0.001505,0.0013,!
Lao People's Democratic Republic,LAO,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.0011,0.000252,0.0018,0.00036,0.000528,0.000804,0.000748,0.003031,0.00935,0.015356,0.014515,0.011695,0.008651,0.009639,0.0104,0.009665,!
Malaysia,MYS,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.551042,0.486653,0.484428,0.544669,0.534032,0.60203,0.600627,0.613938,0.651365,0.65878,0.649946,0.57372,0.571307,0.603411,0.599174,0.507489,!
Maldives,MDV,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,,,,,,,,,,,,,,,,!
Marshall Islands,MHL,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,,,,,,,,,,,,,,,,!
"Micronesia, Federated States of",FSM,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,,,,,,,,,,,,,,,,!
Mongolia,MNG,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.0008,0.005832,0.005832,0.005832,0.005832,0.005832,0.005832,0.000429,0.002514,0.001875,0.00114,0.002,0.00207,0.00223,0.0038,0.003,!
Myanmar,MMR,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,,,,,,,0.000408,0.004992,0.002906,0.003429,0.004579,0.006781,0.014409,0.021707,0.016389,!
Niue,NIU,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,,,,,,,,,,,,,,,,!
Nauru,NRU,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,,,,,,,,,,,,,,,,!
Nepal,NPL,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,0.003204,0.003204,0.003204,0.003204,0.003204,0.003204,0.000671,0.007134,0.014298,0.010292,0.022,0.012612,0.021059,0.021805,0.009765,!
New Zealand,NZL,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.117426,0.076418,0.099407,0.093209,0.070047,0.080453,0.08464,0.100795,0.113292,0.127348,0.134242,0.140979,0.154215,0.156346,0.149617,0.115764,!
Pakistan,PAK,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.167007,0.194192,0.200829,0.151517,0.107772,0.148237,0.160341,0.148571,0.139022,0.143062,0.221076,0.204125,0.240276,0.256044,0.186581,0.124429,!
Palau,PLW,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,,,,,,,,,,,,,,,,!
Papua New Guinea,PNG,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,0.003204,0.003396,0.003396,0.003396,0.002856,0.004281,0.005363,0.008321,0.007915,0.007597,0.005654,0.005269,0.004574,0.005119,0.005183,!
Philippines,PHL,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.097063,0.097291,0.115344,0.121845,0.128663,0.130782,0.1643,0.181336,0.207635,0.265876,0.317909,0.382675,0.457639,0.408967,0.415826,0.238292,!
"Korea, Republic of",KOR,South Korea,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,1.14523,1.18268,1.252586,1.200283,1.439546,1.541433,1.553062,1.5163,1.511931,1.629763,1.800984,1.795215,1.761404,1.784614,1.752013,,!
Samoa,WSM,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,,,,,,,,,,,,,,,,!
Singapore,SGP,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.125018,0.108373,0.088143,0.07695,0.064738,0.04655,0.021132,0.033658,0.028137,0.035383,0.074977,0.109091,0.112114,0.093479,0.0909,0.056223,!
Solomon Islands,SLB,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,,,,,,,0.000198,0.000474,0.000328,0.000267,0.000196,0.000196,0.000232,0.000136,0.000111,!
Sri Lanka,LKA,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.004,0.00427,0.004514,0.0048,0.005001,0.002784,0.002608,0.016008,0.013008,0.0168,0.01811,0.037305,0.014899,0.013081,0.009545,0.006167,!
Tajikistan,TJK,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.00544,0.004596,0.005652,0.006192,0.007512,0.006704,0.00771,0.0062,0.00626,0.006325,0.006325,0.0021,0.00221,0.00243,0.00245,0.0017,!
Thailand,THA,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,0.692506,0.652333,0.608208,0.597181,0.539411,0.533238,0.794081,1.421881,1.264126,0.830193,0.727797,0.646256,0.86128,1.047208,1.050577,0.760231,!
Timor-Leste,TLS,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,LDV,All,All,T014,Road,ATO2023 TAS-VEP-005(2),Passenger,,,,,,,,,,,,,,,,,!
