Source,Country,ISO Code,Region,Variable,Unit,Service,Mode,Vehicle Type,Technology,Fuel,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ATO2023 TAS-FRA-005(3),Afghanistan,AFG,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-005(3),Armenia,ARM,Non-EU Europe,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4029,0.351,0.38110000000000005,0.4185,0.32330000000000003,0.3536,0.3435,0.45180000000000003,0.5296000000000001,0.6782,0.6541,0.668,0.7705,0.705,0.7179,0.7432000000000001,0.8159,0.8673,0.851,0.7861,0.6403,0.6577000000000001,0.6895,0.7318,0.8637999999999999,0.842,0.8112,
ATO2023 TAS-FRA-005(3),Australia,AUS,Australia,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.91536518272713,91.12344447906904,99.31248601729648,100.7881747833369,104.2173213012566,106.1949670838694,110.2547750672434,119.6188192370624,125.587049805641,127.9631935683187,133.5679524578858,137.533953,150.5126452,160.58022,168.70022,183.94419,189.42471,198.96115,218.6835,237.163,258.624,261.8305832891035,290.6772430037408,318.9654692334194,367.72620146843235,401.5973150595125,413.93748110890414,431.3073111466676,441.2732412636444,443.0046278371479,447.4346741155194,453.0910060250127,
ATO2023 TAS-FRA-005(3),Azerbaijan,AZE,Non-EU Europe,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.282,30.737,14.177,7.533,3.394,2.49,2.847,3.57,4.755,5.115,5.838,6.23,7.037,7.788,7.61,9.688,11.149,10.457,10.125,7.68,8.331,7.918,8.279,8.018,7.431,6.269,5.25,4.69,4.55,5.211,4.861,5.316,
ATO2023 TAS-FRA-005(3),Bangladesh,BGD,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7597780000000001,0.689023,0.7824289999999999,0.803849,0.896397,0.777161,0.9078769999999999,0.951821,0.9519869999999999,0.895499,0.8168179999999999,0.776,0.869,0.8,0.71,0.693,,0.525,0.677,0.694,0.694,1.053,1.237,,,,,
ATO2023 TAS-FRA-005(3),Bhutan,BTN,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-005(3),Brunei Darussalam,BRN,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-005(3),Cambodia,KHM,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-005(3),China,CHN,China,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062.24,1097.2,1157.56,1209.09,1263.2,1304.95,1310.62,1326.99,1256.01,1291.03,1377.05,1469.41,1565.84,1724.67,1928.88,2072.6,2195.44,2379.7,2510.63,2523.92,2764.41,2946.58,2918.71,2917.39,2753.02,2375.43,2379.23,2696.22,2882.1,3018.2,3051.45,3323.8,
ATO2023 TAS-FRA-005(3),Cook Islands,COK,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-005(3),Fiji,FJI,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-005(3),Georgia,GEO,Non-EU Europe,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.476700000000001,,,,,1.246,,,,,3.9120999999999997,4.480600000000001,5.0745,5.5385,4.862,6.1271,7.3932,6.9275,6.5157,5.417,6.2275,6.0548,5.9766,5.5259,4.9876000000000005,4.2613,3.4231,2.9633000000000003,2.5982,2.935,2.926,3.3221,
ATO2023 TAS-FRA-005(3),India,IND,India,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-005(3),Indonesia,IDN,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19,3.47,3.779,3.955,3.854,4.172,4.7,5.03,4.963,5.035,4.997,4.859,4.45,4.356,4.58,4.432,4.474,4.426,5.283,5.709,6.559,6.643,6.951,8.19,9.884,10.057,11.12,13.376,15.098,15.573,13.805,15.149,
ATO2023 TAS-FRA-005(3),Japan,JPN,Japan,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,23.33,22.25,22.56,20.398,19.998,20.471,21.071,21.029,21.519,21.265,21.663,19.369,19.993,18.34,,
ATO2023 TAS-FRA-005(3),Kazakhstan,KAZ,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.7,163.5,171.9,191.2,200.8,214.9,197.5,213.2,223.6,235.9,231.3,280.7,267.4,239.0,266.6,283.3,286.7,299.2,297.4,
ATO2023 TAS-FRA-005(3),Kiribati,KIR,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-005(3),Kyrgyzstan,KGZ,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6195999999999997,2.4146,1.5889000000000002,0.923,0.6289,0.4026,0.4808,0.4716,0.4656,0.3538,0.3379,0.3316,0.3946,0.5617000000000001,0.7149,0.6617999999999999,0.7517,0.8489,0.9455,0.7445,0.7377,0.7983,0.9227000000000001,1.0017,1.01,0.9178,0.807,0.9372999999999999,0.9507000000000001,0.8704,0.9375,1.0028,1.0131000000000001
ATO2023 TAS-FRA-005(3),Lao People's Democratic Republic,LAO,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-05,,
ATO2023 TAS-FRA-005(3),Malaysia,MYS,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.073365,0.8865879999999999,1.01673,1.177747,1.337102,1.35553,1.3506289999999999,1.3843800000000002,1.482799,1.535662,1.564609,1.761955,1.741673,1.474542,1.349694,1.233844,1.233184,1.141602,,,
ATO2023 TAS-FRA-005(3),Maldives,MDV,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-005(3),Marshall Islands,MHL,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Rail,All,All,All,T015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
