Source,Country,ISO Code,Region,Variable,Unit,Service,Mode,Vehicle Type,Technology,Fuel,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ATO2023 TAS-VEP-005(1),Afghanistan,AFG,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-005(1),Armenia,ARM,Non-EU Europe,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.012,0.006,0.004,0.004,0.004,0.004,0.005,0.005,0.0052,0.0023,0.0025,0.0022,0.0012,0.00097,,,
ATO2023 TAS-VEP-005(1),Australia,AUS,Australia,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.789096,0.769241,0.835195,0.791225,0.728715,0.827407,0.80345,0.88268,0.899965,0.883949,0.924154,0.927274,0.915658,0.873713,0.799263,0.676804,0.753256,0.777688
ATO2023 TAS-VEP-005(1),Azerbaijan,AZE,Non-EU Europe,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0121,0.013,0.015,0.015,0.01,0.013,0.01,0.014,0.021,0.0233,0.0091,0.0034,0.0017,0.0032,0.006046,,,
ATO2023 TAS-VEP-005(1),Bangladesh,BGD,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0065,0.009,0.012,0.017,0.0215,0.0207,0.0208,0.0246,0.024,0.0293,0.0285,0.0154,0.0025,0.00275,0.003,,,
ATO2023 TAS-VEP-005(1),Bhutan,BTN,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-005(1),Brunei Darussalam,BRN,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.015,0.01,0.015,0.01,0.01,0.015,0.015,0.0147,0.0181,0.0139,0.0134,0.012052,0.0122,0.010949,,,
ATO2023 TAS-VEP-005(1),Cambodia,KHM,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.0015,0.0015,0.0015,0.0015,0.002,0.002,0.002,0.0024,0.001,0.0008,0.000838,0.000811,0.001275,,,
ATO2023 TAS-VEP-005(1),China,CHN,China,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.971101,5.175961,6.297538,6.755609,10.331315,13.757794,14.472416,15.49524,17.92773,19.707677,21.210339,24.376902,24.718321,23.709782,21.472091,20.177731,21.518324,23.563287
ATO2023 TAS-VEP-005(1),Cook Islands,COK,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-005(1),Fiji,FJI,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-005(1),Georgia,GEO,Non-EU Europe,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015,0.002,0.006,0.008,0.001,0.004,0.003,0.004,0.004,0.0043,0.0033,0.0034,0.00255,0.0028,0.002804,,,
ATO2023 TAS-VEP-005(1),India,IND,India,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.106863,1.311373,1.511812,1.545414,1.816878,2.387197,2.510313,2.781919,2.553979,2.570736,2.77227,2.966637,3.229109,3.394729,2.962115,2.433473,3.082279,3.792356
ATO2023 TAS-VEP-005(1),Indonesia,IDN,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.364319,0.222387,0.314769,0.425267,0.359367,0.541475,0.602291,0.780785,0.880032,0.863268,0.755566,0.834919,0.833681,0.878479,0.785539,0.388925,0.659809,0.783563
ATO2023 TAS-VEP-005(1),Japan,JPN,Japan,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.748482,4.612318,4.325508,4.184266,3.90531,4.203181,3.509036,4.572333,4.562282,4.699591,4.215889,4.146459,4.386378,4.39116,4.301091,3.809981,3.675698,3.448297
ATO2023 TAS-VEP-005(1),Kazakhstan,KAZ,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0398,0.039,0.0394,0.039,0.04,0.024,0.038348,0.086959,0.153664,0.151424,0.0815,0.039361,0.041915,0.052836,0.065882,0.082993,0.106304,0.097169
ATO2023 TAS-VEP-005(1),Kiribati,KIR,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-005(1),Kyrgyzstan,KGZ,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.005,0.005,0.004,0.0045,0.004,0.005,0.004,0.004,0.004,0.004,0.0018,0.002,0.0021,0.001348,,,
ATO2023 TAS-VEP-005(1),Lao People's Democratic Republic,LAO,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.0015,0.002,0.003,0.004,0.004,0.005,0.006,0.0098,0.0056,0.0042,0.00341,0.003741,0.004064,,,
ATO2023 TAS-VEP-005(1),Malaysia,MYS,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.410892,0.374169,0.442885,0.497459,0.486342,0.543594,0.535113,0.552189,0.576657,0.588348,0.591275,0.514545,0.51468,0.533099,0.550182,0.480965,0.452663,0.544838
ATO2023 TAS-VEP-005(1),Maldives,MDV,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-005(1),Marshall Islands,MHL,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-005(1),"Micronesia, Federated States of",FSM,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-005(1),Mongolia,MNG,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / y,Passenger,Road,LDV,All,All,T016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005,0.0005,0.001,0.003,0.003,0.003,0.003,0.002,0.0015,0.0011,0.0007,0.0013,0.00526,0.00175,0.00297,,,
