Source,Country,ISO Code,Region,Variable,Unit,Service,Mode,Vehicle Type,Technology,Fuel,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ATO2023 TAS-VEP-020,Afghanistan,AFG,Other Asia-Pacific,Stock,10^6 vehicle / y,Freight,Road,All,All,All,T017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.210601,0.288936,0.303708,0.309805,0.311905,0.315194,0.320593,0.323943,0.327304,0.329751,0.313996,
ATO2023 TAS-VEP-020,Armenia,ARM,Non-EU Europe,Stock,10^6 vehicle / y,Freight,Road,All,All,All,T017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-020,Australia,AUS,Australia,Stock,10^6 vehicle / y,Freight,Road,All,All,All,T017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.864176,,1.84275,,1.922955,2.00103,2.033921,2.09592,2.131318,,2.170591,2.225381,2.292689,2.376403,2.468497,2.569559,2.659125,2.778258,2.874001,2.974284,3.054357,3.1522,3.265722,3.383027,3.474305,3.562015,3.669247,3.792823,3.937187,4.047667,4.181702,4.480032
ATO2023 TAS-VEP-020,Azerbaijan,AZE,Non-EU Europe,Stock,10^6 vehicle / y,Freight,Road,All,All,All,T017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099507,0.094775,0.090466,0.084289,0.081244,0.079673,0.07771,0.071938,0.079934,0.069685,0.078566,0.077142,0.076928,0.079019,0.080918,0.090852,0.097395,0.110391,0.113088,0.117378,0.11846,0.122182,0.130019,0.133637,0.141126,0.141273,0.141525,0.142857,0.147343,0.150547,0.154659,0.161279,
ATO2023 TAS-VEP-020,Bangladesh,BGD,Other Asia-Pacific,Stock,10^6 vehicle / y,Freight,Road,All,All,All,T017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054767,0.057492,0.060067,0.062444,0.065239,0.067822,0.070613,0.073678,0.076199,0.078808,0.085369,0.095425,0.105493,0.11393,0.139525,0.152676,0.155094,0.17083,0.189954,0.205176,0.214411,0.223457,,
ATO2023 TAS-VEP-020,Bhutan,BTN,Other Asia-Pacific,Stock,10^6 vehicle / y,Freight,Road,All,All,All,T017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-020,Brunei Darussalam,BRN,Other Asia-Pacific,Stock,10^6 vehicle / y,Freight,Road,All,All,All,T017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006678,0.006756,0.009743,0.013626,0.012726,0.013657,0.014769,0.014754,0.014785,0.014673,0.014634,,0.01344,
ATO2023 TAS-VEP-020,Cambodia,KHM,Other Asia-Pacific,Stock,10^6 vehicle / y,Freight,Road,All,All,All,T017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000889,0.000638,0.000629,0.00127,0.001089,0.00147,0.001203,0.002321,0.003139,0.003274,0.003241,0.002173,0.002509,0.004218,0.004967,0.005485,0.006211,0.007215,,,,,,
ATO2023 TAS-VEP-020,China,CHN,China,Stock,10^6 vehicle / y,Freight,Road,All,All,All,T017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6848,,,,,5.854299999999999,,,,,7.163200000000001,,,,,9.5555,9.863,10.5406,11.2607,13.686,15.9755,17.8799,18.9475,20.1062,21.2546,20.6562,21.7189,23.3885,25.6782,27.8284,30.4264,32.5847,
ATO2023 TAS-VEP-020,Cook Islands,COK,Other Asia-Pacific,Stock,10^6 vehicle / y,Freight,Road,All,All,All,T017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
