Source,Country,ISO Code,Region,Variable,Unit,Service,Mode,Vehicle Type,Technology,Fuel,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ATO2023 TAS-FRA-004(2),Afghanistan,AFG,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Road,All,All,All,T018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.796,7.038,7.255,7.344,4.423,4.297,,,,,,
ATO2023 TAS-FRA-004(2),Armenia,ARM,Non-EU Europe,Freight Activity,10^9 tonne-km / yr,Freight,Road,All,All,All,T018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.0823,0.08109999999999999,0.0718,0.0692,0.04,0.043,0.0682,0.0793,0.055299999999999995,0.0555,0.0912,0.13290000000000002,0.1794,0.18180000000000002,0.2358,0.2306,0.513,0.6411,0.7263999999999999,0.4794,0.6759,0.7251000000000001,0.85,0.9957,0.899,1.0523,
ATO2023 TAS-FRA-004(2),Australia,AUS,Australia,Freight Activity,10^9 tonne-km / yr,Freight,Road,All,All,All,T018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.35024051939911,86.63123038109137,89.76426069285012,94.1433216707633,98.19369461923348,103.6708242154098,110.5187889234026,116.7873354163016,122.5471967626788,128.2415401352394,134.92876059059031,139.172765306218,146.1969233439225,150.5837820357078,158.8210845438619,162.3032808129418,168.10343475690232,176.0021282361005,183.5370282696792,183.36647281654652,181.4807362134268,191.5901168390258,199.5499729881241,199.2046284402448,200.82812570702242,202.4540203025807,204.7688241449295,208.50416805950988,214.21129231926741,220.46289076557449,222.937628982744,230.1148460063922,
ATO2023 TAS-FRA-004(2),Azerbaijan,AZE,Non-EU Europe,Freight Activity,10^9 tonne-km / yr,Freight,Road,All,All,All,T018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.204,7.486,5.181,3.348,2.544,1.849,1.493,1.501,1.756,3.258,3.802,5.11,5.827,6.543,7.278,7.87,8.568,9.492,10.317,11.021,11.728,12.776,13.744,14.575,14.989,16.038,16.486,16.864,17.402,18.115,8.801,9.425,
ATO2023 TAS-FRA-004(2),Bangladesh,BGD,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Road,All,All,All,T018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-004(2),Bhutan,BTN,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Road,All,All,All,T018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-004(2),Brunei Darussalam,BRN,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Road,All,All,All,T018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-004(2),Cambodia,KHM,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Road,All,All,All,T018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-004(2),People's Republic of China,CHN,China,Freight Activity,10^9 tonne-km / yr,Freight,Road,All,All,All,T018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.81,342.8,375.54,407.05,448.63,469.49,501.12,527.15,548.34,572.43,612.94,633.04,678.25,709.95,784.09,869.32,975.42,1135.47,3286.82,3718.88,4338.97,5137.47,5953.49,5573.81,5684.69,5795.57,6108.01,6677.15,7124.92,5963.64,6017.18,6908.77,
ATO2023 TAS-FRA-004(2),Cook Islands,COK,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Road,All,All,All,T018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
