Source,Country,ISO Code,Region,Variable,Unit,Service,Mode,Vehicle Type,Technology,Fuel,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ATO2023 TAS-FRA-007(3),Afghanistan,AFG,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-007(3),Armenia,ARM,Non-EU Europe,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0172,0.0149,0.0212,0.0152,0.0127,0.0096,0.0091,0.0055,0.0055,0.01,0.0107,0.0124,0.013099999999999999,0.013099999999999999,0.0095,0.009699999999999999,0.0091,0.0112,0.0056,0.002,,0.0,0.0002,0.0001,0.0003,0.0007,0.0021000000000000003
ATO2023 TAS-FRA-007(3),Australia,AUS,Australia,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13004857428575511,0.1975955323230421,0.2201562247495038,0.2423960983627373,0.26619294053286213,0.29465410027628836,0.29623640980294486,0.31000575084413706,0.3482917436772555,0.35360224111149263,0.3597078486629206,0.3660886387065309,0.33382348596763883,0.29997952644375,0.28743088139999995,0.41886257069285726,0.3802042539189174,0.37103884344374277,0.4005215808063221,0.3293729540640847,0.3214899,0.333741514833,0.322483806507,0.29064245849799986,0.273809853509,0.281618925934,0.33,0.333,0.337,0.340981685327576,0.2931524262586589,0.2664710384989449
ATO2023 TAS-FRA-007(3),Azerbaijan,AZE,Non-EU Europe,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,0.036,0.029,0.025,0.05,0.057,0.056,0.039,0.153,0.112,0.102,0.076,0.084,0.204,0.315,0.31,0.291,0.204,0.129,0.11,0.139,0.224,0.357,0.443,0.481,0.582,0.683,0.738,0.919,0.947,2.302,2.802
ATO2023 TAS-FRA-007(3),Bangladesh,BGD,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.18,0.176,,0.244,,0.123,0.106,,0.144,0.15,0.199,0.183,0.183,,,,
ATO2023 TAS-FRA-007(3),Bhutan,BTN,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-007(3),Brunei Darussalam,BRN,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-007(3),Cambodia,KHM,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078,0.08,0.093,0.089,0.051,0.03,0.0,0.008,,,,,,,,,,
ATO2023 TAS-FRA-007(3),People's Republic of China,CHN,China,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.818,1.01,1.342,1.661,1.858,2.23,2.493,2.91,3.345,4.234,5.027,4.372,5.155,5.79,7.18,7.89,9.428,11.639,11.96,12.623,17.89,17.391,16.389,17.029,18.777,20.807,22.245,24.355,26.25,26.32,24.02,27.816
ATO2023 TAS-FRA-007(3),Cook Islands,COK,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-007(3),Fiji,FJI,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-007(3),Georgia,GEO,Non-EU Europe,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028399999999999998,,,,,0.005,,,,,0.0029,0.0027,0.0029,0.0027,0.0035,0.0036,0.0039,0.0036,0.0019,0.0011,0.0009,0.0015,0.0005,0.0004,0.0297,0.041299999999999996,0.0442,0.14980000000000002,0.229,0.2686,0.438,0.8128
ATO2023 TAS-FRA-007(3),India,IND,India,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-007(3),Indonesia,IDN,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1343769999999997,2.780079,6.7627749999999995,6.8012179999999995,3.957186,16.454212,11.591519,5.243193,11.832443999999999,5.542218,6.040023,5.94062,6.49736,6.950989,7.794,6.340008,3.804005,3.2411779999999997
ATO2023 TAS-FRA-007(3),Japan,JPN,Japan,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,1.15,1.0068,0.9802000000000001,1.032,0.929,0.946,0.9665,0.96,1.056,0.96,1.066,0.977,0.931,0.528,
ATO2023 TAS-FRA-007(3),Kazakhstan,KAZ,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0704,0.0756,0.07709999999999999,0.0833,0.0878,0.09029999999999999,0.0717,0.0886,0.1007,0.10690000000000001,0.116,0.11604099999999999,0.11542100000000001,0.1145308,0.1295366,,0.1367206,0.1241514,0.1516787
ATO2023 TAS-FRA-007(3),Kiribati,KIR,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-FRA-007(3),Kyrgyz Republic,KGZ,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3717,0.3635,0.22219999999999998,0.046200000000000005,0.0645,0.09440000000000001,0.1017,0.0974,0.0866,0.0681,0.0555,0.0496,0.038799999999999994,0.0428,0.0455,0.0424,0.0342,0.0471,0.0594,0.045399999999999996,0.0644,0.111,0.0992,0.10990000000000001,0.0834,0.0574,0.0169,0.013099999999999999,0.009800000000000001,0.0085,0.0072,0.0208
ATO2023 TAS-FRA-007(3),Lao People's Democratic Republic,LAO,Other Asia-Pacific,Freight Activity,10^9 tonne-km / yr,Freight,Aviation (Domestic),All,All,All,T019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017800000000000001,0.0007,0.0022,0.0007,0.0005,0.0005899999999999999,0.00044,0.00064,0.00087,0.00075,0.00035,0.00027,0.00020999999999999998,0.0003,0.0002,0.0011899999999999999,0.00035,0.00054,0.00047,0.00522,0.00038,0.00035999999999999997,0.00053,0.00083,0.00264,0.00103,0.00045
