Source,Country,ISO Code,Region,Variable,Unit,Service,Mode,Vehicle Type,Technology,Fuel,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ATO2023 TAS-VEP-018,Afghanistan,AFG,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077946,0.095027,0.097976,0.101939,0.104543,0.106947,0.108812,0.109462,0.110149,0.110701,0.110826,
ATO2023 TAS-VEP-018,Armenia,ARM,Non-EU Europe,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,Australia,AUS,Australia,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042277,,0.046611,,0.05217,0.058772,0.061143,0.06408199999999999,0.065891,,0.067572,0.070196,0.070122,0.071314,0.07262,0.075375,0.077562,0.080581,0.084413,0.086367,0.087883,0.090599,0.093034,0.094131,0.095149,0.096582,0.09693,0.098565,0.099379,0.100473,0.09706,0.077358
ATO2023 TAS-VEP-018,Azerbaijan,AZE,Non-EU Europe,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014044,0.013469,0.01354,0.013327,0.012827,0.012768,0.012925,0.012053,0.013666,0.014941,0.014756,0.017275,0.017422,0.018781,0.020991,0.026735,0.027474,0.028092,0.02934,0.029985,0.029569,0.029189,0.029647,0.030334,0.030943,0.031057,0.030958,0.030788,0.030704,0.030783,0.030757,0.030815,
ATO2023 TAS-VEP-018,Bangladesh,BGD,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033027,0.033768,0.03558,0.038634,0.040649,0.042128,0.043272,0.044533,0.046283,0.047932,0.049436,0.05098,0.052819,0.054449,0.067174,0.069143,0.069906,0.076841,0.082084,0.086419,0.089881,0.092058,,
ATO2023 TAS-VEP-018,Bhutan,BTN,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,Brunei Darussalam,BRN,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001257,0.001176,0.001699,0.002169,0.002118,0.002358,0.002468,0.004271,0.002447,0.002507,0.002593,,0.002115,
ATO2023 TAS-VEP-018,Cambodia,KHM,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001168,0.001025,0.000664,0.001085,0.001135,0.001407,0.001927,0.001526,,0.002569,0.002838,0.002636,0.003118,0.00368,0.003263,0.003718,0.005145,0.005138,,,,,,
ATO2023 TAS-VEP-018,People's Republic of China,CHN,China,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1378,2.2434,2.3434,2.4358,2.5375,2.6251,2.7395,2.5991,2.4844,2.5167,2.2973,2.2985,2.3189,2.3373,2.3266,2.253,2.1845,
ATO2023 TAS-VEP-018,Cook Islands,COK,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,Fiji,FJI,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001277,0.001339,0.001417,0.001468,0.001511,0.001607,0.001635,0.001567,0.001595,0.001763,0.001839,0.00189,0.001971,0.002034,0.002006,0.002403,0.002452,0.002413,0.002155,0.001965,0.00188,
ATO2023 TAS-VEP-018,Georgia,GEO,Non-EU Europe,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0135,,,,,0.0137,,,,,,0.0189,0.0198,0.0227,0.0241,0.0257,0.0428,0.0474,0.0429,0.0459,0.0476,0.0492,0.0512,0.0519,0.0527,0.053,0.0534,0.0535,0.0538,0.0542,0.0545,0.0556,
ATO2023 TAS-VEP-018,India,IND,India,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298,0.331,0.358,0.38,0.392,0.423,0.449,0.484,0.538,0.54,0.562,0.6339,0.635006,0.720696,0.767593,0.678521,0.762341,1.098422,1.156568,1.205793,1.176642,1.238245,1.296764,1.418763,1.46801,1.527396,1.38474,1.864,1.942518,2.048863,2.196,,
ATO2023 TAS-VEP-018,Indonesia,IDN,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46855,0.50472,0.539943,0.56849,0.651608,0.688525,0.595419,0.611402,0.62668,0.644667,0.66628,0.68055,0.714222,0.798079,0.933251,1.110255,1.350047,1.736087,2.059187,2.160973,2.250109,2.254406,1.945288,1.962921,1.979848,1.998032,2.003187,0.213359,0.222872,0.231569,0.233261,0.237566,
ATO2023 TAS-VEP-018,Japan,JPN,Japan,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245844,0.247968,0.248412,0.247119,0.244611,0.242907,0.241844,0.239866,0.237146,0.235725,0.23555,0.234244,0.23318,0.231984,0.232,0.231696,0.231758,0.230981,0.229804,0.228295,0.226839,0.22627,0.226047,0.226542,0.227579,0.230603,0.232793,0.233542,0.232992,0.231051,0.222326,0.216416,
ATO2023 TAS-VEP-018,Kazakhstan,KAZ,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0542,0.054034,0.0551,0.0562,0.0548,0.054006,0.0492,0.0462,0.044295,0.043421,0.045666,0.050162,0.051367,0.061391,0.063,0.065698,0.075042,0.083372,0.0892,0.0948,0.094,0.0984,0.0973,0.101,0.09895,0.097688,0.098652,0.09043,0.089291,0.086613,0.083581,0.082,
ATO2023 TAS-VEP-018,Kiribati,KIR,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-018,Kyrgyz Republic,KGZ,Other Asia-Pacific,Stock,10^6 vehicle,Passenger,Road,Bus,All,All,T020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
