Source,Country,ISO Code,Region,Variable,Unit,Service,Mode,Vehicle Type,Technology,Fuel,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ATO2023 TAS-VEP-017,Afghanistan,AFG,Other Asia-Pacific,Stock,10^6 vehicle / yr,Passenger,Road,LDV,All,All,T022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.745875,1.109146,1.140438,1.151327,1.156215,1.156873,1.164031,1.196031,1.203287,1.225084,1.240323,
ATO2023 TAS-VEP-017,Armenia,ARM,Non-EU Europe,Stock,10^6 vehicle / yr,Passenger,Road,LDV,All,All,T022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-017,Australia,AUS,Australia,Stock,10^6 vehicle / yr,Passenger,Road,LDV,All,All,T022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.860661,,8.279407999999998,,8.628806,8.989136,9.206236,9.526733,9.686223,,9.835884,10.101441,10.365941,10.629401,10.89641,11.18888,11.46656,11.803536,12.023098,12.269305,12.474044,12.714235,13.000021,13.29726,13.549449,13.815107,14.078606,14.330432,14.504148,14.679249,14.850675,15.076256
ATO2023 TAS-VEP-017,Azerbaijan,AZE,Non-EU Europe,Stock,10^6 vehicle / yr,Passenger,Road,LDV,All,All,T022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26021,0.260001,0.258294,0.263315,0.276414,0.278285,0.273658,0.271265,0.28132,0.306933,0.332026,0.342958,0.350559,0.400439,0.438964,0.479447,0.548979,0.616853,0.70008,0.759203,0.815683,0.871449,0.958594,1.048806,1.100124,1.129596,1.136983,1.147437,1.170672,1.214093,1.264542,1.349307,
ATO2023 TAS-VEP-017,Bangladesh,BGD,Other Asia-Pacific,Stock,10^6 vehicle / yr,Passenger,Road,LDV,All,All,T022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167742,0.174228,0.184051,0.196079,0.209948,0.217918,0.228048,0.24785,0.271106,0.301116,0.277793,0.306503,0.311602,0.338542,0.467346,0.498156,0.507452,0.547825,0.586796,0.622171,0.652396,0.684735,,
ATO2023 TAS-VEP-017,Bhutan,BTN,Other Asia-Pacific,Stock,10^6 vehicle / yr,Passenger,Road,LDV,All,All,T022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010116,0.011622,0.013135,0.014107,0.016415,0.019393,0.022016,0.026755,0.030004,0.034761,0.041006,0.044608,0.044787,0.046033,0.051673,0.058508,0.065011,0.069931,0.076758,0.080378,0.086828,
ATO2023 TAS-VEP-017,Brunei Darussalam,BRN,Other Asia-Pacific,Stock,10^6 vehicle / yr,Passenger,Road,LDV,All,All,T022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154439,0.102594,0.132756,0.218136,0.241898,0.244723,0.245187,0.253405,0.255087,0.260219,0.267618,0.261273,,
ATO2023 TAS-VEP-017,Cambodia,KHM,Other Asia-Pacific,Stock,10^6 vehicle / yr,Passenger,Road,LDV,All,All,T022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135088,0.141964,0.149628,0.155974,0.163239,0.171268,0.176268,0.185312,0.193851,0.200561,0.209128,0.219602,0.235298,0.247322,,,,,,,,,,,,,,,,,
ATO2023 TAS-VEP-017,China,CHN,China,Stock,10^6 vehicle / yr,Passenger,Road,LDV,All,All,T022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1867,23.9523,29.6165,35.9533,45.9134,58.6161,72.0442,86.83099999999999,103.1333,120.7503,138.6614,160.4839,182.3765,203.2168,222.4162,239.4089,257.9739,
ATO2023 TAS-VEP-017,Cook Islands,COK,Other Asia-Pacific,Stock,10^6 vehicle / yr,Passenger,Road,LDV,All,All,T022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
